yr,blk,ag01,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12
"23","G","153576",3386720,5554257,0,0,0,0,0,0,0,69291,0,0
"23","G","153587",0,21906625,0,0,0,0,-43284362,0,0,82282,0,0
"23","G","153590",21155678,0,0,0,0,0,0,0,0,0,0,0
"23","G","153591",26916697,0,0,0,0,0,0,0,0,0,0,0
"23","G","153592",23187595,0,0,0,47039,0,0,0,0,0,3683077,0
"23","G","153597",0,1767386,0,0,0,0,0,0,0,470241,0,0
"23","G","153599",8375174,0,0,0,0,0,0,0,0,0,0,0
"23","G","153602",2737650,995736,0,0,0,0,0,0,0,0,0,0
"23","G","153607",121422101,600,0,0,2753070,0,0,0,0,0,10523920,0
"23","G","153613",2334631,66153,0,0,36066,0,0,0,0,0,1097992,0
"23","G","153615",0,372057248,0,0,0,0,82945376,0,0,25758843,0,0
"23","G","153619",0,58401804,0,0,0,0,77818425,0,0,91558,0,0
"23","G","153625",0,31000,0,0,0,0,0,0,0,0,0,0
"23","G","153627",4636000,22000,0,0,0,0,-15000,0,0,0,0,0
"23","G","153643",4395454,0,0,0,0,0,0,0,0,384,0,0
"23","G","153649",22333003,140526470,0,0,0,0,0,0,0,565013,0,0
"23","G","153653",4704236,0,0,0,0,0,0,0,0,0,0,0
"23","G","153654",0,2296119,0,0,0,0,0,0,0,0,0,0
"23","G","153656",0,161302,0,0,0,210000,0,1560000,0,0,0,0
"23","G","153657",0,37430,0,0,0,0,0,0,0,0,0,0
"23","G","153658",0,3543480,0,0,0,0,0,0,0,0,0,0
"23","G","153659",12065900,5200,0,0,0,0,0,0,0,0,0,0
"23","G","153669",17194317,144860,0,0,0,0,0,0,0,7730,0,0
"23","G","153673",16636540,0,0,0,0,0,0,0,0,0,0,0
"23","G","153675",28943664,0,0,0,0,0,0,0,0,0,0,0
"23","G","153685",56930308,11355520,0,0,0,0,9748017,0,0,0,0,0
"23","G","153687",98000,0,0,0,0,0,-1462000,0,0,0,0,0
"23","G","153690",26941151,2261529,0,0,0,0,0,0,0,0,0,0
"23","G","153694",6948120,0,0,0,0,0,0,0,0,0,0,0
"23","G","153697",0,40292000,0,0,0,0,-1504000,0,0,248000,0,0
"23","G","153698",1922437,376868,0,0,0,0,1332376,0,0,1843451,0,0
"23","G","153699",38384862,9927566,0,0,7573195,0,0,0,0,12484,48340958,0
"23","G","153705",61989261,3743756,0,0,0,0,0,0,0,165923,0,0
"23","G","153706",2323,0,0,0,0,0,0,0,0,0,0,0
"23","G","153707",144450,0,0,0,0,0,0,0,0,0,0,0
"23","G","153709",0,74090,0,0,0,0,-409007,0,0,705443,0,0
"23","G","153711",2311180,600,0,0,1354730,0,0,1365000,0,13026,6462639,0
"23","G","153712",0,99367,0,0,0,0,0,0,0,0,0,0
"23","G","153713",0,0,0,0,42753,0,0,0,0,0,119716,0
"23","G","153714",94166,0,0,0,0,0,0,0,0,1187012,0,0
"23","G","153715",236858,14940,0,0,0,0,-333312,0,0,0,0,0
"23","G","153716",1260000,117800,0,0,0,0,0,0,0,0,0,0
"23","G","153718",7829210,10044130,0,0,0,0,0,1364000,0,3191200,0,0
"23","G","153719",0,3173278,0,0,0,0,0,0,0,89251,0,0
"23","G","153722",0,115870,0,0,0,0,-317472,187200,0,7594,0,0
"23","G","153724",0,174714,0,0,0,0,0,0,0,1000,0,0
"23","G","153728",0,69046,0,0,0,0,0,0,0,0,0,0
"23","G","153730",0,25966483,0,0,0,0,-323253,0,0,222789,0,0
"23","G","153731",0,11231494,0,0,27238124,0,0,0,0,127401,106281035,0
"23","G","153732",0,677606,0,0,908233,0,0,0,0,39356,7395611,0
"23","G","153733",0,358181116,0,51626042,13189114,0,30296553,0,0,1264039,124562972,0
"23","G","153736",0,9080000,0,149000,3099760,0,3470000,0,0,13000,41846760,0
"23","G","153737",156500,589703,0,0,0,0,161000,36000,0,367751,0,0
"23","G","153738",0,42153,0,0,0,0,0,324000,0,1542637,0,0
"23","G","153740",0,1413749,0,0,122480,0,0,0,0,0,310910,0
"23","G","153741",0,1156000,0,0,0,0,0,0,0,0,0,0
"23","G","153742",12000,0,0,0,0,0,9592924,0,0,27732,0,0
"23","G","153745",0,0,0,0,0,0,1118994,0,0,0,0,0
"23","G","153746",658200,0,0,0,0,0,114208,0,0,850,0,0
"23","G","153747",0,1838,0,0,0,0,0,0,0,0,0,0
"23","G","153748",0,0,0,0,0,0,356466,0,0,0,0,0
"23","G","153749",526595213,9920072,0,0,0,0,35358713,0,0,1222828,0,0
"23","G","153750",0,394000,0,75384000,0,0,-11560000,0,0,225000,0,0
"23","G","153752",262994500,18200,0,0,0,0,0,0,0,138100,0,0
"23","G","153753",0,0,0,0,0,0,3386000,0,0,0,0,0
"23","G","153754",0,11115000,0,0,0,0,0,0,0,0,0,0
"23","G","153755",80508000,246400,0,0,0,0,-1189600,0,0,1960000,0,0
"23","G","153757",0,13746,0,0,0,0,0,0,0,18274,0,0
"23","G","153759",0,4267030,0,0,1540,0,148740,0,0,16625,22150,0
"23","G","153760",0,521193,0,0,0,0,0,0,0,0,0,0
"23","G","153762",0,818609,0,0,0,0,0,0,0,0,0,0
"23","G","153763",527201,0,0,0,0,0,0,0,0,0,0,0
"23","G","153768",0,6601478,0,0,0,0,-22934200,0,0,162071,0,0
"23","G","153769",0,4851000,0,0,0,0,-2048000,0,0,251000,0,0
"23","G","153770",0,0,0,0,0,0,0,0,0,430,0,0
"23","G","153771",0,5770000,0,0,0,0,-771000,0,0,0,0,0
"23","G","153775",0,2687432,0,0,0,0,0,0,0,0,0,0
"23","G","153776",484500,12531000,0,0,20599680,0,0,0,0,6450750,278095680,0
"23","G","153778",0,0,0,0,0,0,0,0,0,32959,0,0
"23","G","153780",0,216813,0,0,0,0,0,0,0,408076,0,0
"23","G","153783",0,2319544,0,0,0,0,-487370,0,0,274852,0,0
"23","G","153784",0,3350,0,0,0,0,0,0,0,0,0,0
