yr,blk,ai01,i_i1,i_i3,i_i4,i_i5,i_i6,i_i7
"23","I","100666",2,"3412004",9,85891.00,60124012,700.00
"23","I","100666",3,"3526010",9,17110.00,39524178,2310.00
"23","I","100666",8,"3414009",9,144704.00,48041652,332.00
"23","I","100666",9,"3527002",9,30456.00,142839210,4690.02
"23","I","100666",12,"3526076",9,1400.00,15524085,11088.63
"23","I","100666",13,"3526049",9,3598.00,103425261,28745.21
"23","I","100666",7,"9994000",0,0.00,1086822298,0.00
"23","I","100669",1,"3414099",27,90.81,37723434,415398.41
"23","I","100669",2,"3526073",9,743.81,35017724,47078.75
"23","I","100669",3,"3526060",9,2396.69,21714931,9060.39
"23","I","100669",4,"3526049",9,263.00,10527954,40030.24
"23","I","100669",5,"3526014",9,592.00,6676764,11278.32
"23","I","100669",6,"9922100",0,0.00,6487613,0.00
"23","I","100669",7,"9994000",0,0.00,118148420,0.00
"23","I","100670",3,"3526016",9,6.68,36872747,5519020.85
"23","I","100670",5,"3527099",9,56127.00,492612456,8776.75
"23","I","100670",1,"3525053",9,71.00,289031,4070.86
"23","I","100670",2,"3526018",9,68.00,2335775,34349.63
"23","I","100670",4,"3525024",9,438.00,14827528,33852.80
"23","I","100670",6,"9922100",0,0.00,139415403,0.00
"23","I","100670",7,"9994000",0,0.00,686352940,0.00
"23","I","100671",8,"3526089",9,7211.00,30291769,4200.77
"23","I","100671",2,"3411012",9,57131.07,207850825,3638.14
"23","I","100671",3,"3424032",9,452.18,218402,483.00
"23","I","100671",9,"3527046",9,2363.00,30896874,13075.27
"23","I","100671",10,"4293206",15,153722744.00,88131176,0.57
"23","I","100671",1,"2321008",9,39388.00,39482963,1002.41
"23","I","100671",4,"3525010",9,3564.00,36125335,10136.18
"23","I","100671",5,"3526072",9,1476.00,3106734,2104.83
"23","I","100671",6,"9922100",0,0.00,24826251,0.00
"23","I","100671",7,"9994000",0,0.00,460930329,0.00
"23","I","100672",1,"3529003",9,21636.00,136914832,6328.10
"23","I","100672",7,"9994000",0,0.00,136914832,0.00
"23","I","100677",10,"2321010",27,84.41,10056763,119147.04
"23","I","100677",12,"3411005",9,20958.96,27718440,1322.51
"23","I","100677",14,"3424032",9,837.84,404677,483.00
"23","I","100677",2,"3649002",9,2873921.93,80469814,28.00
"23","I","100677",5,"3411029",27,251.12,21136602,84170.29
"23","I","100677",8,"3541099",9,25387.00,36049272,1419.99
"23","I","100677",9,"3527025",9,120899.00,49277803,407.59
"23","I","100677",11,"3525098",9,496.00,8942065,18028.36
"23","I","100677",13,"3525024",9,250.00,5326629,21306.52
"23","I","100677",1,"2321008",9,132313.00,33440108,252.73
"23","I","100677",3,"3525020",9,11700.00,128425986,10976.58
"23","I","100677",4,"3526099",9,3558.00,56161886,15784.68
"23","I","100677",6,"9922100",0,0.00,19056949,0.00
"23","I","100677",7,"9994000",0,0.00,476466994,0.00
"23","I","100678",1,"3527099",9,8684.00,71002984,8176.30
